album,date,track,lyrics
physical graffiti,1975-02-22T00:00:00.000000,the rover,"if we could just join handsif we could just join handsif we could just, if we could just, if we could justif we could just, if we could just join handshey! that's all it takes, that's all it takesthat's all it takes, that's all it takesyeah, yeah yeah, yeah yeah, yeah yeah, yeah yeah, yeah yeah, yeah yeahyeah yeah, yeah yeah, yeah yeah, yeah yeah, yeah yeah, yeah yeahooh yeah, ah! ah! ah! that's right, that's right, that's right, that's right"
physical graffiti,1975-02-22T00:00:00.000000,in my time of dying,"(coughing)coughthat's going to be the one isn't it?come have a listen thenoh yes, thank you"
physical graffiti,1975-02-22T00:00:00.000000,houses of the holy,"so let me take you, take you to the moviecan i take you, baby, to the show?why don't you let me be your ever truly?can i make your garden grow?you know, that's right"
physical graffiti,1975-02-22T00:00:00.000000,trampled under foot,"oh, i can't stop talking about lovei can't stop talking about loveooh, let me go on down, go on downgo on down, go on down, go on down, yeahi can't stop talking abouti can't stop talking about love, oh yeahi can't stop talking about love or my babyi can't stop talking about love, my babymy baby, my baby, yeahpush, pushpush itpush, pushoooooooohhh"
physical graffiti,1975-02-22T00:00:00.000000,kashmir,"oh, when i'm on, when i'm on my way, yeahwhen i see, when i see the way you stay, yeahooh, yeah-yeah, ooh, yeah-yeah, when i'm down, yeahooh, yeah-yeah, ooh, yeah-yeah, but i'm down, so downooh, my baby, ooh, my baby, let me take you thereoh, oh, come on, come onoh, let me take you there, let me take you thereooh, yeah-yeah, ooh, yeah-yeahlet me take you there, let me take you there"
physical graffiti,1975-02-22T00:00:00.000000,in the light,"light, light, light, in the lightlight, light, light, in the light, ooh, yeahlight, light, light, in the lightlight, light, light, in the lightlight, light, light, in the light, ooh yeah yeahlight, light, light, in the light, everybody, come on now"
physical graffiti,1975-02-22T00:00:00.000000,bron-yr-aur,
physical graffiti,1975-02-22T00:00:00.000000,down by the seaside,""
physical graffiti,1975-02-22T00:00:00.000000,ten years gone,"i'm never going to leave youi'm never going to leaveholding on, ten years goneten years gone, holding on, ten years gonei'm never, i'm neveroooh, yeah..."
physical graffiti,1975-02-22T00:00:00.000000,night flight,"make me feel alrightfly now, babyget to fly, yeahfly now, babyoh, hey heyuh, uh, uh, uh"
physical graffiti,1975-02-22T00:00:00.000000,the wanton song,"silent woman, my face is changedsome know in ways to comefeel my fire needs a brand new flameand the wheel rolls on, rolls onrolls on, rolls on, babe, oooooooh"
physical graffiti,1975-02-22T00:00:00.000000,boogie with stu,""
physical graffiti,1975-02-22T00:00:00.000000,black country woman,"what's the matter with you, mama?"
physical graffiti,1975-02-22T00:00:00.000000,sick again,"ooh, that's rightooh, yeah, that's rightooh, that's rightthat's rightthat's rightooh, yeah, that's rightthat's rightaah, aah, aah, aah, aah*cough*"
presence,1976-02-22T00:00:00.000000,achilles' last stand,"oh, the mighty arms of atlas hold the heavens from the earth(ohhhhh, ohhh, ohhh, ohhhhh, ohhhhhh)ah-ah, ah-ah, ah-ah, ah-ahah-ah, ah-ah, ah-ah, ah-ahah-ah, ah-ah, ah-ah, ah-ahah-ah, ah-ah, ah-ah, ah-ahoooooh oooh, oh"
presence,1976-02-22T00:00:00.000000,for your life,"oh, i can have you, babybut i don't know what to do, yeahsometime, baby, nothing i could do, yeahon the balance of a crystalpaying through the nose*snort*and when they couldn't resist youi thought you'd go with the flowand now your stage is emptybring down the curtain, baby, pleasefold up your showhadn't planned tocould not stand to fry in iti hadn't planned iti over-ran it, fryingfor your life, for your life"
presence,1976-02-22T00:00:00.000000,royal orleans,"now one-time love, take care how you use ittry to make it last all nightand if you take your pick, be careful how you choose itsometimes it's hard to feel it bite"
presence,1976-02-22T00:00:00.000000,nobody's fault but mine,"aah, aah, ah, aahaah, aah, ah, aahhow to kick that gong to lightn-n-n-n-n-n-n-nobody's fault"
presence,1976-02-22T00:00:00.000000,candy store rock,"ooh, ooh, yeahbaby, it's alright, oh, it's alrightooh, oohoh, baby, it's alright, oh, it's alrightooh, oohit's alright, oh, it's alrightooh, oohit's alright, yeah, it's alrightooh, oohit's alright, it's alrightooh, ooh, oohit's alright, it's alrightooh, yeah, ooh, yeahit's alright, it's alrightooh, ooh, yeahalright"
presence,1976-02-22T00:00:00.000000,hots on for nowhere,"let me tell you now, babe (oh, oh, oh, oh)let me tell you (oh, oh, oh, oh)that it feels so good that it must be rightnow my babe (oh, oh, oh, oh)let me tell you (oh, oh, oh, oh)that it feels so good that it must be rightnow my babe (oh, oh, oh, oh)let me tell you (oh, oh, oh, oh)that it feels so, that it feels so, that it feels so, that it feels so good (oh, oh, oh, oh)so good (oh, oh, oh, oh), so good, oh yes"
presence,1976-02-22T00:00:00.000000,tea for one,"how come twenty-four hourssometimes seem to slip into days, days?well, well, well, a minute seems like a lifetimebaby, when i feel this waya minute seems like a lifetimeoh, baby, when i feel this wayi feel this way"
in through the out door,1979-02-22T00:00:00.000000,in the evening,"aw, baby, i've got to have your lovei've got to haveoh, babe, i've got to have your loveoh, oh, have your loveoh, oh, oh, oh, i've got to have your lovejust got toi just goti just got to, oh, ohoh, oh, oh, oh, oh, oh"
in through the out door,1979-02-22T00:00:00.000000,south bound saurez,"i'm good, yeahi'm feeling good, yeah, heyi'm feeling good, yeahi'm feeling good, yeah, heydown on the ground (sha-la-la-la, sha-la-la-la-la-la)i'm feeling good, yeah (sha-la-la-la, sha-la-la-la-la)i'm feeling good, yeah, yeah, yeah, yeah (sha-la-la-la, sha-la-la-la-la)i'm feeling good, yeah, yeah, yeah, yeah (sha-la-la-la, sha-la-la-la-la)i'm feeling good, yeah, yeah, yeah, yeah (sha-la-la-la, sha-la-la-la-la)i'm feeling good, yeah, yeah, yeah (sha-la-la-la, sha-la-la-la-la)(sha-la-la-la, sha-la-la-la-la)(sha-la-la-la, sha-la-la-la-la)(sha-la-la-la, sha-la-la-la-la)(sha-la-la-la, sha-la-la-la-la)i'm feeling good, yeah, yeah, yeah, yeah (sha-la-la-la, sha-la-la-la-la)i'm feeling good, yeah, yeah, yeah, yeah(sha-la-la-la, sha-la-la-la-la)i'm feeling good, yeah, yeah, yeah, yeah, yeah (sha-la-la-la, sha-la-la-la-la)(sha-la-la-la, sha-la-la-la-la)suarez! (sha-la-la-la, sha-la-la-la-la)suarez! (sha-la-la-la, sha-la-la-la-la)suarez! (sha-la-la-la...)"
in through the out door,1979-02-22T00:00:00.000000,fool in the rain,"light of the love that i foundlight of the love that i foundlight of the love that ilight of the love that i foundlight of the, hey, now, light of the, hey, nowlight of the love that i foundlight of the love that i found"
in through the out door,1979-02-22T00:00:00.000000,hot dog,"i thought i had it all sewn upour love, a plot, a pickup truckbut folks said she was after something morei never did quite understandall that talk about rocking bandsbut they just rolled my doll right out the dooroh yeah, they just rolled my doll right out the doorwhy, well, they just rolled my doll right out the door"
in through the out door,1979-02-22T00:00:00.000000,carouselambra,"held now within the knowingrest now within the beattake of the fruit, but guard the seedoh, take of the fruit, but guard the seed"
in through the out door,1979-02-22T00:00:00.000000,all my love,"oh, all of my love, all of my loveoh, all of my love to you, nowall of my love, oh-ooh-oh, yesall of my love to you, nowall of my love, all of my loveall of my love, lovesometimes, sometimessometimes, sometimeshey-hey, hey, eyhey-hey-heyooh, yeahit's all, all, all, allall of my love, all of my loveall of my love to you, nowall of my love, all of my loveall of my love to, to you, and you, to you, yeahi get a little bit lonelyjust a littlejust a littlejust a little bit lonelyjust a little bit lonely, hey-hey, hey, hey-hey, hey, hey-hey, hey, hey"
in through the out door,1979-02-22T00:00:00.000000,i'm gonna crawl,yes i love heri guess i love heryes i love heri wanna crawl
